x_px,x_py,y_px,y_py,unprimed_start_idx,prime_x_start_idx,prime_y_start_idx
<|endoftext|>A doctor follows a doctor. The physician led the physician.,<|endoftext|>A doctor is followed by a doctor. The physician led the physician.,<|endoftext|>A doctor follows a doctor. The physician was led by the physician.,<|endoftext|>A doctor is followed by a doctor. The physician was led by the physician.,1,7,9
<|endoftext|>A physician follows a physician. The doctor led the doctor.,<|endoftext|>A physician is followed by a physician. The doctor led the doctor.,<|endoftext|>A physician follows a physician. The doctor was led by the doctor.,<|endoftext|>A physician is followed by a physician. The doctor was led by the doctor.,1,7,9
<|endoftext|>The doctor helped the doctor. A physician asks a physician.,<|endoftext|>The doctor was helped by the doctor. A physician asks a physician.,<|endoftext|>The doctor helped the doctor. A physician is asked by a physician.,<|endoftext|>The doctor was helped by the doctor. A physician is asked by a physician.,1,7,9
<|endoftext|>The physician helps the physician. A doctor asked a doctor.,<|endoftext|>The physician is helped by the physician. A doctor asked a doctor.,<|endoftext|>The physician helps the physician. A doctor was asked by a doctor.,<|endoftext|>The physician is helped by the physician. A doctor was asked by a doctor.,1,7,9
<|endoftext|>The doctor helps the singer. A physician asked a band.,<|endoftext|>The singer is helped by the doctor. A physician asked a band.,<|endoftext|>The doctor helps the singer. A band was asked by a physician.,<|endoftext|>The singer is helped by the doctor. A band was asked by a physician.,1,7,9
<|endoftext|>The doctor helped the colonel. A physician asks an army.,<|endoftext|>The colonel was helped by the doctor. A physician asks an army.,<|endoftext|>The doctor helped the colonel. An army is asked by a physician.,<|endoftext|>The colonel was helped by the doctor. An army is asked by a physician.,1,7,9
<|endoftext|>The physician helped the singer. A doctor asks a band.,<|endoftext|>The singer was helped by the physician. A doctor asks a band.,<|endoftext|>The physician helped the singer. A band is asked by a doctor.,<|endoftext|>The singer was helped by the physician. A band is asked by a doctor.,1,7,9
<|endoftext|>The physician helped the colonel. A doctor asks an army.,<|endoftext|>The colonel was helped by the physician. A doctor asks an army.,<|endoftext|>The physician helped the colonel. An army is asked by a doctor.,<|endoftext|>The colonel was helped by the physician. An army is asked by a doctor.,1,7,9
<|endoftext|>The doctor catches the doctor. A physician chased a physician.,<|endoftext|>The doctor is caught by the doctor. A physician chased a physician.,<|endoftext|>The doctor catches the doctor. A physician was chased by a physician.,<|endoftext|>The doctor is caught by the doctor. A physician was chased by a physician.,1,7,9
<|endoftext|>A physician catches a physician. The doctor chased the doctor.,<|endoftext|>A physician is caught by a physician. The doctor chased the doctor.,<|endoftext|>A physician catches a physician. The doctor was chased by the doctor.,<|endoftext|>A physician is caught by a physician. The doctor was chased by the doctor.,1,7,9
<|endoftext|>The doctor forgot the doctor. A physician forgives a physician.,<|endoftext|>The doctor was forgotten by the doctor. A physician forgives a physician.,<|endoftext|>The doctor forgot the doctor. A physician is forgiven by a physician.,<|endoftext|>The doctor was forgotten by the doctor. A physician is forgiven by a physician.,1,7,9
<|endoftext|>The physician forgets the physician. A doctor forgave a doctor.,<|endoftext|>The physician is forgotten by the physician. A doctor forgave a doctor.,<|endoftext|>The physician forgets the physician. A doctor was forgiven by a doctor.,<|endoftext|>The physician is forgotten by the physician. A doctor was forgiven by a doctor.,1,8,9
<|endoftext|>The doctor understands the doctor. A physician forgave a physician.,<|endoftext|>The doctor is understood by the doctor. A physician forgave a physician.,<|endoftext|>The doctor understands the doctor. A physician was forgiven by a physician.,<|endoftext|>The doctor is understood by the doctor. A physician was forgiven by a physician.,1,7,9
<|endoftext|>The physician understood the physician. A doctor forgives a doctor.,<|endoftext|>The physician was understood by the physician. A doctor forgives a doctor.,<|endoftext|>The physician understood the physician. A doctor is forgiven by a doctor.,<|endoftext|>The physician was understood by the physician. A doctor is forgiven by a doctor.,1,7,9
<|endoftext|>The doctor beat the doctor. A physician hurts a physician.,<|endoftext|>The doctor was beaten by the doctor. A physician hurts a physician.,<|endoftext|>The doctor beat the doctor. A physician is hurt by a physician.,<|endoftext|>The doctor was beaten by the doctor. A physician is hurt by a physician.,1,7,9
<|endoftext|>A physician beat a physician. The doctor hurts the doctor.,<|endoftext|>A physician was beaten by a physician. The doctor hurts the doctor.,<|endoftext|>A physician beat a physician. The doctor is hurt by the doctor.,<|endoftext|>A physician was beaten by a physician. The doctor is hurt by the doctor.,1,7,9
<|endoftext|>The doctor kills the doctor. A physician hurt a physician.,<|endoftext|>The doctor is killed by the doctor. A physician hurt a physician.,<|endoftext|>The doctor kills the doctor. A physician was hurt by a physician.,<|endoftext|>The doctor is killed by the doctor. A physician was hurt by a physician.,1,7,9
<|endoftext|>The physician kills the physician. A doctor hurt a doctor.,<|endoftext|>The physician is killed by the physician. A doctor hurt a doctor.,<|endoftext|>The physician kills the physician. A doctor was hurt by a doctor.,<|endoftext|>The physician is killed by the physician. A doctor was hurt by a doctor.,1,7,9
<|endoftext|>A doctor forgave a doctor. The physician accepts the physician.,<|endoftext|>A doctor was forgiven by a doctor. The physician accepts the physician.,<|endoftext|>A doctor forgave a doctor. The physician is accepted by the physician.,<|endoftext|>A doctor was forgiven by a doctor. The physician is accepted by the physician.,1,8,9
<|endoftext|>The physician forgives the physician. A doctor accepted a doctor.,<|endoftext|>The physician is forgiven by the physician. A doctor accepted a doctor.,<|endoftext|>The physician forgives the physician. A doctor was accepted by a doctor.,<|endoftext|>The physician is forgiven by the physician. A doctor was accepted by a doctor.,1,8,9
